nohup: ignoring input
[PHOENIX] Starting 100M Validation Run...
[AUD] Run: 73000000 | Success: 6178616 | Sync Rate: 8.4639% | Node: 93307
[AUD] Run: 74000000 | Success: 6263250 | Sync Rate: 8.4639% | Node: 93307
[AUD] Run: 75000000 | Success: 6347884 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 76000000 | Success: 6432514 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 77000000 | Success: 6517152 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 78000000 | Success: 6601789 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 79000000 | Success: 6686429 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 80000000 | Success: 6771066 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 81000000 | Success: 6855704 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 82000000 | Success: 6940342 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 83000000 | Success: 7024978 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 84000000 | Success: 7109614 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 85000000 | Success: 7194251 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 86000000 | Success: 7278888 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 87000000 | Success: 7363524 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 88000000 | Success: 7448162 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 89000000 | Success: 7532802 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 90000000 | Success: 7617437 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 91000000 | Success: 7702077 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 92000000 | Success: 7786717 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 93000000 | Success: 7871352 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 94000000 | Success: 7955991 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 95000000 | Success: 8040629 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 96000000 | Success: 8125264 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 97000000 | Success: 8209901 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 98000000 | Success: 8294538 | Sync Rate: 8.4638% | Node: 93307
[AUD] Run: 99000000 | Success: 8379175 | Sync Rate: 8.4638% | Node: 93307
[COMPLETE] Final Dataset: 8463811 Chameleonic Hits Found.
